
nutrition_id,recipe_id,calories,total_fat_g,carbohydrates_g,protein_g,total_sugars_g,sodium_mg
1,1,149,6,7,15,0,289
2,2,126,1,25,7,5,130
3,3,130,2,28,3,24,30
4,4,157,0,34,5,25,105
5,5,359,16,47,10,33,103
6,6,280,11,42,4,24,103
7,7,103,4,16,1,9,87
8,8,73,1,14,2,10,65
9,9,231,1,54,3,40,131
10,10,115,6,15,2,11,75
11,11,178,8,22,4,17,70
12,12,116,2,25,2,13,3
13,13,105,0,26,0,22,1
14,14,222,3,18,28,12,54
15,15,44,4,2,1,1,2
16,16,213,8,32,7,7,52
17,17,72,5,8,1,1,121
18,18,294,12,47,2,36,8
19,19,102,2,1,19,0,30
20,20,234,9,7,29,1,174
